gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,9,8,3,2,0,4,4,121,14.0,0.0,14.0,14.0,4.0,0.0,14.0,4.0,9.0,9.0,4.0,4.0,44,44,44,44,44,29.0,39.0,39.0,34.0,34.0,39.0,39,24,34,39,29,29,34,34,34,34,14,9,44,34,44,44,9,30.0,24,34.0,1
0,16,11,2,2,1,44,24,7,14.0,9.0,7.0,7.0,3.0,5.0,5.0,12.0,12.0,3.0,7.0,7.0,34,49,29,39,39,44.0,29.0,29.0,29.0,24.0,14.0,44,9,49,44,39,39,39,34,34,44,44,44,44,44,44,24,34,19.0,29,24.0,0
1,11,12,0,2,0,4,4,69,12.0,9.0,9.0,12.0,0.0,4.0,24.0,4.0,4.0,4.0,4.0,4.0,44,44,44,44,44,49.0,49.0,49.0,49.0,49.0,49.0,44,29,29,29,19,19,39,29,29,39,4,24,14,14,34,9,34,29.0,24,49.0,1
0,4,12,2,2,1,19,24,192,12.0,7.0,12.0,7.0,0.0,9.0,9.0,10.0,8.0,7.0,7.0,4.0,29,44,39,34,39,29.0,39.0,34.0,19.0,34.0,9.0,39,44,34,34,34,29,9,9,34,34,34,24,34,29,39,44,24,26.0,34,29.0,1
1,11,11,2,0,0,9,14,23,4.0,9.0,9.0,7.0,9.0,7.0,9.0,6.0,8.0,8.0,4.0,10.0,34,39,39,39,29,24.0,34.0,44.0,39.0,39.0,39.0,44,39,29,39,29,14,29,4,44,29,14,9,34,39,49,24,4,33.0,29,39.0,0
0,11,7,2,2,1,14,9,130,4.0,9.0,17.0,9.0,0.0,7.0,12.0,7.0,9.0,9.0,9.0,0.0,39,44,39,44,49,44.0,44.0,39.0,49.0,39.0,34.0,9,9,9,49,39,39,34,39,44,39,4,44,39,39,44,19,9,34.0,24,39.0,0
1,13,7,3,2,0,14,4,142,24.0,9.0,4.0,2.0,4.0,2.0,37.0,2.0,2.0,4.0,0.0,2.0,44,39,44,44,44,39.0,44.0,44.0,39.0,39.0,39.0,34,24,39,39,34,29,14,24,44,39,9,14,19,24,44,39,9,36.0,44,39.0,0
0,16,6,1,2,0,9,9,180,12.0,8.0,7.0,10.0,5.0,5.0,7.0,8.0,10.0,9.0,8.0,6.0,39,39,39,39,39,34.0,34.0,34.0,34.0,34.0,34.0,24,24,24,44,34,34,34,34,44,44,24,34,34,34,44,24,34,25.0,29,34.0,1
0,9,8,0,0,1,39,39,169,7.0,4.0,14.0,4.0,2.0,14.0,4.0,9.0,7.0,9.0,9.0,7.0,34,44,39,34,34,24.0,24.0,24.0,24.0,24.0,24.0,9,14,9,49,49,49,9,4,34,19,19,44,44,39,39,14,14,44.0,24,24.0,0
1,11,11,0,2,0,29,4,26,7.0,9.0,9.0,9.0,6.0,6.0,7.0,8.0,8.0,8.0,8.0,6.0,34,44,34,44,44,34.0,39.0,39.0,39.0,24.0,24.0,24,29,14,34,29,14,19,14,34,39,34,39,39,19,19,19,4,19.0,29,34.0,1
