gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,39,34,3,2,0,19,19,121,59.0,0.0,59.0,59.0,19.0,0.0,59.0,19.0,39.0,39.0,19.0,19.0,179,179,179,179,179,119.0,159.0,159.0,139.0,139.0,159.0,159,99,139,159,119,119,139,139,139,139,59,39,179,139,179,179,39,121.0,99,139.0,1
0,64,44,2,2,1,179,99,7,59.0,39.0,29.0,29.0,15.0,23.0,23.0,49.0,49.0,15.0,29.0,29.0,139,199,119,159,159,179.0,119.0,119.0,119.0,99.0,59.0,179,39,199,179,159,159,159,139,139,179,179,179,179,179,179,99,139,76.0,119,99.0,0
1,44,49,0,2,0,19,19,69,49.0,39.0,39.0,49.0,0.0,19.0,99.0,19.0,19.0,19.0,19.0,19.0,179,179,179,179,179,199.0,199.0,199.0,199.0,199.0,199.0,179,119,119,119,79,79,159,119,119,159,19,99,59,59,139,39,139,118.0,99,199.0,1
0,19,49,2,2,1,79,99,192,49.0,29.0,49.0,29.0,0.0,39.0,39.0,43.0,35.0,29.0,29.0,19.0,119,179,159,139,159,119.0,159.0,139.0,79.0,139.0,39.0,159,179,139,139,139,119,39,39,139,139,139,99,139,119,159,179,99,107.0,139,119.0,1
1,44,44,2,0,0,39,59,23,19.0,39.0,39.0,29.0,39.0,29.0,37.0,25.0,35.0,35.0,19.0,43.0,139,159,159,159,119,99.0,139.0,179.0,159.0,159.0,159.0,179,159,119,159,119,59,119,19,179,119,59,39,139,159,199,99,19,135.0,119,159.0,0
0,44,29,2,2,1,59,39,130,19.0,39.0,69.0,39.0,0.0,29.0,49.0,29.0,39.0,39.0,39.0,0.0,159,179,159,179,199,179.0,179.0,159.0,199.0,159.0,139.0,39,39,39,199,159,159,139,159,179,159,19,179,159,159,179,79,39,138.0,99,159.0,0
1,54,29,3,2,0,59,19,142,99.0,39.0,19.0,9.0,19.0,9.0,149.0,9.0,9.0,19.0,0.0,9.0,179,159,179,179,179,159.0,179.0,179.0,159.0,159.0,159.0,139,99,159,159,139,119,59,99,179,159,39,59,79,99,179,159,39,144.0,179,159.0,0
0,64,24,1,2,0,39,39,180,51.0,35.0,30.0,41.0,20.0,20.0,29.0,33.0,41.0,37.0,33.0,24.0,159,159,159,159,159,139.0,139.0,139.0,139.0,139.0,139.0,99,99,99,179,139,139,139,139,179,179,99,139,139,139,179,99,139,102.0,119,139.0,1
0,39,34,0,0,1,159,159,169,29.0,19.0,59.0,19.0,9.0,59.0,19.0,39.0,29.0,39.0,39.0,29.0,139,179,159,139,139,99.0,99.0,99.0,99.0,99.0,99.0,39,59,39,199,199,199,39,19,139,79,79,179,179,159,159,59,59,179.0,99,99.0,0
1,44,44,0,2,0,119,19,26,30.0,38.0,38.0,38.0,26.0,26.0,31.0,35.0,35.0,35.0,35.0,26.0,139,179,139,179,179,139.0,159.0,159.0,159.0,99.0,99.0,99,119,59,139,119,59,79,59,139,159,139,159,159,79,79,79,19,78.0,119,139.0,1
1,24,34,2,1,0,119,159,46,23.0,26.0,38.0,38.0,38.0,34.0,34.0,42.0,34.0,42.0,29.0,17.0,159,199,199,179,159,159.0,179.0,159.0,139.0,159.0,119.0,179,59,199,159,119,139,139,79,139,59,19,179,119,79,119,139,19,135.0,119,139.0,1
1,34,84,2,0,0,19,159,41,29.0,29.0,59.0,29.0,29.0,19.0,33.0,35.0,55.0,53.0,9.0,9.0,119,179,179,199,139,119.0,159.0,159.0,79.0,99.0,79.0,39,119,39,119,139,139,139,19,19,199,59,139,99,119,159,19,19,174.0,139,79.0,1
0,14,14,2,2,1,159,199,61,39.0,29.0,39.0,29.0,23.0,35.0,39.0,19.0,39.0,39.0,39.0,19.0,159,139,159,159,159,199.0,199.0,199.0,199.0,199.0,199.0,119,159,119,179,159,119,59,99,159,159,99,119,99,119,99,179,59,146.0,119,199.0,1
0,44,74,2,2,1,59,59,150,39.0,19.0,39.0,29.0,29.0,39.0,19.0,39.0,39.0,39.0,19.0,39.0,159,179,179,179,139,179.0,179.0,179.0,179.0,179.0,179.0,99,159,99,179,179,179,139,19,79,179,79,179,179,159,159,79,179,159.0,99,179.0,1
1,34,39,2,2,1,19,99,17,37.0,37.0,37.0,37.0,9.0,37.0,59.0,59.0,79.0,0.0,0.0,0.0,139,179,79,199,99,139.0,159.0,159.0,139.0,119.0,99.0,39,79,79,159,159,159,139,99,39,119,99,139,159,179,179,139,139,164.0,99,159.0,0
0,34,34,4,0,0,39,139,73,29.0,19.0,59.0,19.0,9.0,59.0,39.0,39.0,39.0,39.0,19.0,19.0,159,179,159,159,139,119.0,199.0,199.0,159.0,159.0,159.0,99,99,99,159,179,199,179,19,139,159,119,159,159,159,179,119,139,165.0,139,179.0,1
0,54,19,2,3,0,19,39,113,19.0,39.0,69.0,19.0,9.0,39.0,19.0,39.0,39.0,39.0,39.0,19.0,179,199,179,179,179,139.0,159.0,159.0,159.0,159.0,139.0,139,39,159,199,179,179,179,39,179,199,79,199,199,159,199,119,179,105.0,99,139.0,0
