gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
0,0,2,0,2,0,1,3,121,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,5.0,8.0,6.0,6.0,5.0,4.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,5.0,2,6.0,1
0,0,0,0,2,0,1,3,121,5.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,6.0,7.0,6.0,7.0,4.0,5.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,7.0,2,6.0,1
0,0,1,0,2,0,1,3,121,2.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,6.0,5.0,7.0,6.0,5.0,7.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,8.0,2,6.0,1
0,0,1,0,3,0,1,3,121,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,4.0,5.0,6.0,6.0,5.0,5.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,6.0,2,5.0,1
0,0,1,0,2,0,1,3,121,4.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,3.0,8.0,6.0,3.0,5.0,3.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,6.0,2,5.0,0
0,0,2,0,2,0,1,3,121,3.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,6.0,5.0,6.0,3.0,5.0,6.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,6.0,2,5.0,1
0,0,2,0,2,0,1,3,121,4.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5,7,7,7,6,6.0,5.0,7.0,8.0,7.0,7.0,8,1,7,8,0,0,4,0,4,5,8,0,9,9,8,7,0,6.0,2,6.0,1
0,1,2,2,2,1,1,4,121,3.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,6,4,9,7,2,4.0,6.0,7.0,3.0,5.0,2.0,2,1,6,9,7,5,2,4,7,9,0,8,7,6,7,2,0,6.0,3,5.0,0
0,1,0,2,2,1,1,4,121,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,6,4,9,7,2,7.0,4.0,5.0,5.0,8.0,5.0,2,1,6,9,7,5,2,4,7,9,0,8,7,6,7,2,0,5.0,3,6.0,0
0,1,1,2,2,1,1,4,121,2.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,6,4,9,7,2,6.0,8.0,6.0,5.0,4.0,6.0,2,1,6,9,7,5,2,4,7,9,0,8,7,6,7,2,0,3.0,3,6.0,1
0,1,2,2,2,1,1,4,121,3.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,6,4,9,7,2,6.0,4.0,8.0,5.0,6.0,8.0,2,1,6,9,7,5,2,4,7,9,0,8,7,6,7,2,0,7.0,3,7.0,1
