0,1,2,3
5,2,-9.380422304,35.38628429
16,2,-9.140320634,27.66293245
25,2,-3.656034581,18.29068964
28,2,18.99007421,16.96652325
76,2,-0.150060351,21.15461536
82,2,-13.60513371,26.40033227
109,2,0.863171042,36.70577629
117,2,-0.011164549,32.73440354
120,2,28.84271523,16.51772418
122,2,-2.763631239,24.29092063
143,2,1.4947460730000002,35.03641354
159,2,-0.35066577299999996,32.79435911
161,2,-4.761889745,17.61185423
171,2,-0.300009648,32.73310176
178,2,-18.15585363,31.48000958
180,2,1.500168861,18.48637559
187,2,0.423083207,32.54467612
189,2,0.44931626700000005,34.0437273
190,2,0.197246096,24.81468237
199,2,-4.999860238,38.60824107
213,2,-9.616977848,32.38209326
220,2,-5.661769648,19.55819775
233,2,-13.77072948,32.99840826
252,2,1.373210735,30.77001172
253,2,-16.34300823,33.29187625
262,2,-26.20604146,-28.86003823
268,2,3.5274780810000004,35.37878293
277,2,-15.38068892,32.7022159
308,2,-15.03217938,33.89020601
317,2,-15.03881773,32.8121066
318,2,4.898143595,-1.811277026
325,2,-13.9659081,32.84291763
339,2,-14.09868221,33.31811305
347,2,-15.50232536,32.740976399999994
360,2,0.237695071,21.43793901
365,2,-12.89517767,31.88930735
375,2,-14.32257823,33.4851736
378,2,-6.922096197999999,29.1183262
381,2,-11.68905852,32.23293224
385,2,-13.33958189,33.80601182
390,2,-4.567404426,21.85879181
391,2,-14.65504346,35.61782377
400,2,-2.549740035,28.14592132
410,2,-1.6918273940000002,24.84871108
432,2,-11.49169505,27.27453125
444,2,12.37425095,33.77109739
448,2,-9.570401279,33.98652623
457,2,-15.82598944,30.33935005
472,2,1.037777202,13.74262631
476,2,-4.59508795,36.39322495
477,2,-15.54015007,29.96850231
493,2,-12.66082077,35.43429548
515,2,-14.77063173,36.58285603
530,2,-3.36767531,27.51160059
548,2,-14.65526579,26.90045839
551,2,-16.97837581,31.0515058
555,2,-15.95955304,30.41514137
558,2,2.663313401,35.617671200000004
563,2,-16.3619171,30.63346449
568,2,-11.0101401,26.00947653
570,2,-2.700856843,34.19643407
584,2,-4.723498923999999,28.1480006
588,2,0.250205224,9.031510402
591,2,-17.45347039,29.85991662
619,2,-12.655628300000002,35.25519871
642,2,-12.12850479,31.38352283
646,2,-3.2268986889999995,21.22664044
650,2,3.695852551,31.99353573
657,2,-12.28629782,34.717795200000005
664,2,3.487056154,34.94926909
673,2,-9.562900287,33.98233320000001
674,2,1.795882072,11.98979992
684,2,-12.299973399999999,27.42265862
688,2,3.232786533,31.47237032
693,2,-5.234846834,36.80253648
696,2,-4.401830728,20.79243105
713,2,-11.94948275,34.49219489
714,2,0.125704733,24.8185865
716,2,-11.59205863,29.17091314
732,2,-2.213694948,23.47411514
774,2,-16.3225063,31.61349723
801,2,-5.24050076,36.94271414
807,2,-5.0209789769999995,36.66502744
813,2,-5.245975979,36.88791304
814,2,-2.502143132,23.93557582
830,2,-0.9749947870000001,21.11241067
844,2,-17.89467492,30.95333549
854,2,34.66493637,3.97958423
862,2,-1.7353361530000002,29.01399703
863,2,-3.287769123,37.05396585
866,2,-0.744810755,15.79832143
873,2,-15.30503817,30.97657961
893,2,-16.31747664,29.65328983
907,2,-16.11494878,32.33491363
917,2,-14.30509322,36.1629991
931,2,-14.26897668,36.15681859
938,2,-3.037555725,21.33470244
946,2,-6.923847146,20.69104913
989,2,-14.73565423,34.85023577
1010,2,-15.14096636,30.89414625
1011,2,-14.46280572,35.83820257
1033,2,-13.00419181,34.76328236
1034,2,-11.18281019,27.4813816
1047,2,14.95149771,14.19736443
1048,2,-14.95424443,25.90712091
1053,2,-12.85262759,35.00656014
1058,2,0.288940728,21.708655399999998
1074,2,-4.619039044,20.05106305
1096,2,-4.679811399,32.47585756
1124,2,-18.00446083,31.52169975
1129,2,-12.62465769,35.88700027
1134,2,-13.81671377,24.39282766
1140,2,-5.096474492,38.93929716
1143,2,0.083657916,21.75233791
1165,2,-6.138489514,-35.93932466
1175,2,-11.66785299,33.89554966
1183,2,-5.228991573,32.48181183
1188,2,-1.758957701,29.34781576
1199,2,-5.231963297,32.03382613
1213,2,-0.7785442440000001,35.05584034
1246,2,-2.365715264,24.77206148
1249,2,-1.013753211,34.1989942
1255,2,-1.111520377,34.14972406
1262,2,-0.079977544,32.91263842
1264,2,-11.96154627,27.02922749
1270,2,0.972589136,17.68352602
1299,2,-5.075330641,36.87399182
1301,2,-7.817067187999999,23.37678605
1330,2,0.23313014199999998,22.65101243
1334,2,-0.211194658,26.1902129
1361,2,-3.86022037,37.06133017
1374,2,2.064080869,34.35463229
1385,2,-8.458761407999999,30.23810009
